article,article_title,date_published,main_image
"The uses of fat as the ideal natural filler continue to expand. Using very finely processed fat we can now inject fat through very fine needles. This allows fat to be injected much more superficially than before. It is also possible to distribute the fat in a very thin layer under the full surface of the facial and neck skin to rejuvenate the appearance of the skin, fill out fine lines and wrinkles, improve facial scars and facial skin discoloration. The technique can be combined with other facial skin rejuvenation procedures such as chemical peels and laser resurfacing.",nano fat grafting,"September 14, 2013",http://www.lookandfeelbetter.com
"The single most important component of any breast implant operation, whether for cosmetic breast augmentation or breast reconstruction, is ensuring that there is good soft tissue coverage over the implant. Most of the complications relating to breast implants are directly related to the quality and thickness of the soft tissue over the implants.Complications include poor shape, assymetry, hardening or capsular contracture, pain, rippling and even tissue deformity and breakdown in some cases.The uses of fat as the ideal natural filler continue to expand. Using very finely processed fat we can now inject fat through very fine needles. This allows fat to be injected much more superficially than before. It is also possible to distribute the fat in a very thin layer under the full surface of the facial and neck skin to rejuvenate the appearance of the skin, fill out fine lines and wrinkles, improve facial scars and facial skin discoloration. The technique can be combined with other facial skin rejuvenation procedures such as chemical peels and laser resurfacing.I have just returned from Berlin where I attended the 2nd International Society for Plastic Regenerative Surgery (ISPRES) where I presented my experience using . The meeting was extremely well attended with presentations and discussions on the expanding field of fat transfer for all aspects of cosmetic and reconstructive surgery.",fat transfer,"February 8, 2015",http://www.lookandfeelbetter.com
"COME ONE! COME ALL! Our Breastfest celebration is an event like NO other! We'll have an elite panel of doctors to answer any questions you may have regarding breast cancer and/or reconstruction options. However, we know that no one wants to sit around all night and talk about cancer. So, we'll provide food, drinks, goodies, LAUGHS and much MORE! Please remember to RSVP because we want to be sure that there is plenty of the aforementioned to go around! We can't wait to see you!We are very excited that Dr. and Michelle Hartog's local interview has gone national. It has aired in Georgia, New York and Tennessee so far! Breast reconstruction became the Hartogs' passion after Michelle's breast cancer diagnosis in 2010. With their combined medical knowledge and extensive research, they realized traditional reconstruction procedures weren't for Michelle. Dr. Hartog, while performing fat grafting since his plastic surgery training, started to really understand the signifigance of fat grafting for breast cancer survivors.",breast cancer,"September 27, 2013",http://www.lookandfeelbetter.com
"COME ONE! COME ALL! Our Breastfest celebration is an event like NO other! We'll have an elite panel of doctors to answer any questions you may have regarding breast cancer and/or reconstruction options. However, we know that no one wants to sit around all night and talk about cancer. So, we'll provide food, drinks, goodies, LAUGHS and much MORE! Please remember to RSVP because we want to be sure that there is plenty of the aforementioned to go around! We can't wait to see you!Just a quick little post to say we LOVE YOU! Without our fabulous patients we wouldn't be The Bougainvillea Clinique you've come to know! Patient referrals are so precious and appreciated by us that words don't describe. No one understands that more than myself who had surgery with Dr. Hartog July 27, 1999 (clearly, I was only 5 years old at the time)! I literally picked Dr. Hartog out of a phone book (my internet...ahemmm...was down that day), he was my first and ONLY consultation and to this day, just a few days shy of 14 years together, I am still his number #1 fan!We are so excited and appreciate OUR patients! We want to keep growing our business and help others to look and feel their best! Below is a wonderful article on counterfeit Botox. Every single day we get asked by our patients and people seeking Botox treatment why aren't our prices as low as some of the daily discount sites. There is no question when comparing our office to deeply discounted Botox offices that it's like comparing an apple to a sock. We only sell Botox Cosmetic that comes directly from Allergan, the makers of Botox. We do, have not and will never use a second party distributor for any of our injectables.",The Bougainvillea Clinique,"September 27, 2013",http://www.lookandfeelbetter.com
" provides revolutionary technology for non-surgical body contouring and skin tightening for the face, neck, abdomen, arms,",loose skin,"September 18, 2014",http://www.lookandfeelbetter.com
"COME ONE! COME ALL! Our Breastfest celebration is an event like NO other! We'll have an elite panel of doctors to answer any questions you may have regarding breast cancer and/or reconstruction options. However, we know that no one wants to sit around all night and talk about cancer. So, we'll provide food, drinks, goodies, LAUGHS and much MORE! Please remember to RSVP because we want to be sure that there is plenty of the aforementioned to go around! We can't wait to see you!",breast cancer awareness,"September 27, 2013",http://www.lookandfeelbetter.com
" provides revolutionary technology for non-surgical body contouring and skin tightening for the face, neck, abdomen, arms,",face lift,"September 18, 2014",http://www.lookandfeelbetter.com
" provides revolutionary technology for non-surgical body contouring and skin tightening for the face, neck, abdomen, arms,",fat reduction,"September 18, 2014",http://www.lookandfeelbetter.com
" provides revolutionary technology for non-surgical body contouring and skin tightening for the face, neck, abdomen, arms,",cellulite reduction,"September 18, 2014",http://www.lookandfeelbetter.com
,scars,"September 19, 2014",http://www.lookandfeelbetter.com
,hydroquinone,"October 14, 2014",http://www.lookandfeelbetter.com
,acne scars,"October 14, 2014",http://www.lookandfeelbetter.com
,Nanofat Skin Rejuvenation Therapy,"September 19, 2014",http://www.lookandfeelbetter.com
,Burns,"September 19, 2014",http://www.lookandfeelbetter.com
,dry skin,"October 14, 2014",http://www.lookandfeelbetter.com
,acne,"October 14, 2014",http://www.lookandfeelbetter.com
,liposomal bupivacaine,"October 28, 2014",http://www.lookandfeelbetter.com
"Over the last two years I have adopted two major modifications to the way I perform abdominoplasty, that have made a major difference in recovery for my patients.",drainless abdominoplasty,"February 2, 2015",http://www.lookandfeelbetter.com
"The Bougainvillea Clinique is still the only cosmetic surgery facility in the Orlando area to offer the Vectra 3-D Computer Imaging system. As an advanced user we have just been authorised to install the latest version of the software before it is realised to other doctors, and we are more impressed than ever. The list of procedures that we can now provide consultation for with 3-D imaging  continue to expand. The latest additions of the software now provide advanced 3-D prediction for breast lift as well as facial fillers.",3-D Computer Imaging,"November 1, 2013",http://www.lookandfeelbetter.com
"I have just returned from Amsterdam, where I attended the International Federation for Adipose Therapeutics and Science (IFATS) Annual Meeting. Fat transfer and the use of fat derived stem cells continue to have more and more applications. There were a number of excellent papers on already well accepted uses of fat transfer such as facial rejuvenation, breast augmentation and breast reconstruction. The long term stability of fat transfer in these areas was confirmed in numerous studies that were presented. I just returned from the 11th annual meeting of IFATS (Internation Federation for Adipose Therapeutics and Sciences) in NYC, where I presented on standardization in fat grafting.The IFATS meeting is unique in the fat grafting world as it is purposeful blend of the real science and clinical practice of fat grafting. Because of the increased emphasis on the actual  research going on in the laboratories around the world one can gain a great insight into future directions of fat grafting, emerging stem cell therapies, and regenerative medicine in general.",IFATS,"November 21, 2014",http://www.lookandfeelbetter.com
"The single most important component of any breast implant operation, whether for cosmetic breast augmentation or breast reconstruction, is ensuring that there is good soft tissue coverage over the implant. Most of the complications relating to breast implants are directly related to the quality and thickness of the soft tissue over the implants.Complications include poor shape, assymetry, hardening or capsular contracture, pain, rippling and even tissue deformity and breakdown in some cases.I have just returned from Amsterdam, where I attended the International Federation for Adipose Therapeutics and Science (IFATS) Annual Meeting. Fat transfer and the use of fat derived stem cells continue to have more and more applications. There were a number of excellent papers on already well accepted uses of fat transfer such as facial rejuvenation, breast augmentation and breast reconstruction. The long term stability of fat transfer in these areas was confirmed in numerous studies that were presented. COME ONE! COME ALL! Our Breastfest celebration is an event like NO other! We'll have an elite panel of doctors to answer any questions you may have regarding breast cancer and/or reconstruction options. However, we know that no one wants to sit around all night and talk about cancer. So, we'll provide food, drinks, goodies, LAUGHS and much MORE! Please remember to RSVP because we want to be sure that there is plenty of the aforementioned to go around! We can't wait to see you!As you may know by now, we are very passionate about fat grafting at The Bougainvillea Clinique. The BRAVA® System is an essential piece of the fat grafting puzzle. It's just as important as the actual grafting portion. Brava helps ""till the soil"" as Dr. Hartog likes to say. It creates space in the breast tissues, which in turn allows for more fat to be grafted once. Additionally, a higher percentage of fat will live or ""take"" when BRAVA is used. To such a degree that we are now making it mandatory to use it for all breast augmentation and reconstruction patients. We are very excited that Dr. and Michelle Hartog's local interview has gone national. It has aired in Georgia, New York and Tennessee so far! Breast reconstruction became the Hartogs' passion after Michelle's breast cancer diagnosis in 2010. With their combined medical knowledge and extensive research, they realized traditional reconstruction procedures weren't for Michelle. Dr. Hartog, while performing fat grafting since his plastic surgery training, started to really understand the signifigance of fat grafting for breast cancer survivors.I have just returned from Berlin where I attended the 2nd International Society for Plastic Regenerative Surgery (ISPRES) where I presented my experience using . The meeting was extremely well attended with presentations and discussions on the expanding field of fat transfer for all aspects of cosmetic and reconstructive surgery.",breast reconstruction,"February 8, 2015",http://www.lookandfeelbetter.com
"I just returned from the 11th annual meeting of IFATS (Internation Federation for Adipose Therapeutics and Sciences) in NYC, where I presented on standardization in fat grafting.The IFATS meeting is unique in the fat grafting world as it is purposeful blend of the real science and clinical practice of fat grafting. Because of the increased emphasis on the actual  research going on in the laboratories around the world one can gain a great insight into future directions of fat grafting, emerging stem cell therapies, and regenerative medicine in general.",ASC&#039;s,"November 24, 2013",http://www.lookandfeelbetter.com
"The Bougainvillea Clinique is still the only cosmetic surgery facility in the Orlando area to offer the Vectra 3-D Computer Imaging system. As an advanced user we have just been authorised to install the latest version of the software before it is realised to other doctors, and we are more impressed than ever. The list of procedures that we can now provide consultation for with 3-D imaging  continue to expand. The latest additions of the software now provide advanced 3-D prediction for breast lift as well as facial fillers.",body contouring,"November 1, 2013",http://www.lookandfeelbetter.com
"I have just returned from Amsterdam, where I attended the International Federation for Adipose Therapeutics and Science (IFATS) Annual Meeting. Fat transfer and the use of fat derived stem cells continue to have more and more applications. There were a number of excellent papers on already well accepted uses of fat transfer such as facial rejuvenation, breast augmentation and breast reconstruction. The long term stability of fat transfer in these areas was confirmed in numerous studies that were presented. Now you can bank your skin rejuvenation treatments for life. With the latest advancements in fat transfer and skin rejuvenation, it is now possible to use your own fat as the source of your own facial and skin rejuvenation. As the experts in fat transfer technology, we at the Bougainvillea Clinique have developed a unique approach to the use of your own fat, not available anywhere else. The uses of fat as the ideal natural filler continue to expand. Using very finely processed fat we can now inject fat through very fine needles. This allows fat to be injected much more superficially than before. It is also possible to distribute the fat in a very thin layer under the full surface of the facial and neck skin to rejuvenate the appearance of the skin, fill out fine lines and wrinkles, improve facial scars and facial skin discoloration. The technique can be combined with other facial skin rejuvenation procedures such as chemical peels and laser resurfacing.",Facial Rejuvenation,"November 21, 2014",http://www.lookandfeelbetter.com
"Now you can bank your skin rejuvenation treatments for life. With the latest advancements in fat transfer and skin rejuvenation, it is now possible to use your own fat as the source of your own facial and skin rejuvenation. As the experts in fat transfer technology, we at the Bougainvillea Clinique have developed a unique approach to the use of your own fat, not available anywhere else. I just returned from the 11th annual meeting of IFATS (Internation Federation for Adipose Therapeutics and Sciences) in NYC, where I presented on standardization in fat grafting.The IFATS meeting is unique in the fat grafting world as it is purposeful blend of the real science and clinical practice of fat grafting. Because of the increased emphasis on the actual  research going on in the laboratories around the world one can gain a great insight into future directions of fat grafting, emerging stem cell therapies, and regenerative medicine in general.",facial fillers,"December 1, 2013",http://www.lookandfeelbetter.com
"Now you can bank your skin rejuvenation treatments for life. With the latest advancements in fat transfer and skin rejuvenation, it is now possible to use your own fat as the source of your own facial and skin rejuvenation. As the experts in fat transfer technology, we at the Bougainvillea Clinique have developed a unique approach to the use of your own fat, not available anywhere else. ",décolletage,"December 1, 2013",http://www.lookandfeelbetter.com
"Now you can bank your skin rejuvenation treatments for life. With the latest advancements in fat transfer and skin rejuvenation, it is now possible to use your own fat as the source of your own facial and skin rejuvenation. As the experts in fat transfer technology, we at the Bougainvillea Clinique have developed a unique approach to the use of your own fat, not available anywhere else. I just returned from the 11th annual meeting of IFATS (Internation Federation for Adipose Therapeutics and Sciences) in NYC, where I presented on standardization in fat grafting.The IFATS meeting is unique in the fat grafting world as it is purposeful blend of the real science and clinical practice of fat grafting. Because of the increased emphasis on the actual  research going on in the laboratories around the world one can gain a great insight into future directions of fat grafting, emerging stem cell therapies, and regenerative medicine in general.",Adipose Stem Cells,"December 1, 2013",http://www.lookandfeelbetter.com
,"Latisse,Congratulations to Latisse for celebrating 5 YEARS of making lashes more beautiful!, ","July 14, 2014",http://www.lookandfeelbetter.com
,JuvedermUltraPlus,"July 14, 2014",http://www.lookandfeelbetter.com
,JuvedermUltra,"July 14, 2014",http://www.lookandfeelbetter.com
,BrilliantDistinctions,"July 14, 2014",http://www.lookandfeelbetter.com
"The Bougainvillea Clinique is still the only cosmetic surgery facility in the Orlando area to offer the Vectra 3-D Computer Imaging system. As an advanced user we have just been authorised to install the latest version of the software before it is realised to other doctors, and we are more impressed than ever. The list of procedures that we can now provide consultation for with 3-D imaging  continue to expand. The latest additions of the software now provide advanced 3-D prediction for breast lift as well as facial fillers.Great deals now through Satuday ONLY! Michelle and Liz will be on holiday next week so now is the time to strike while the needle is hot! Juvederm will plump lips and fill in pesky smile lines. Botox will relax the muscles that help create wrinkles by the eyes and on the forehead. Let's get our smooth face on! Call today for your appointment!Below is a wonderful article on counterfeit Botox. Every single day we get asked by our patients and people seeking Botox treatment why aren't our prices as low as some of the daily discount sites. There is no question when comparing our office to deeply discounted Botox offices that it's like comparing an apple to a sock. We only sell Botox Cosmetic that comes directly from Allergan, the makers of Botox. We do, have not and will never use a second party distributor for any of our injectables.",Botox,"July 14, 2014",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/Screen%20shot%202013-02-21%20at%206.05.31%20PM_0.png
"Of all the techniques I have yet used, Hydrasolve Liposuction is the gentlest. Using warmed water, it is even gentler than the Body-Jet (Aqualipo) device, and fat is removed with almost zero blood loss. This translates to less bruising and an easier recovery in my experience, particularly for higher volume liposuction patients. In addition, the temperature of the water can be adjusted as the device is used to impart more heat to the collagen.",Vaser,"August 22, 2014",http://www.lookandfeelbetter.com
" provides revolutionary technology for non-surgical body contouring and skin tightening for the face, neck, abdomen, arms,Of all the techniques I have yet used, Hydrasolve Liposuction is the gentlest. Using warmed water, it is even gentler than the Body-Jet (Aqualipo) device, and fat is removed with almost zero blood loss. This translates to less bruising and an easier recovery in my experience, particularly for higher volume liposuction patients. In addition, the temperature of the water can be adjusted as the device is used to impart more heat to the collagen.Different doctors and practices will have their own approach to what a patient should weigh and/or body mass index be prior to surgery. There are no strict hard fast rules but for optimal results weight should be stable. Liposuction and abdominoplasty should never be viewed as weight loss procedures. While the two have very different goals and provide wonderful results it doesn’t mean the scale will move drastically.",Liposuction,"September 18, 2014",http://www.lookandfeelbetter.com
"Of all the techniques I have yet used, Hydrasolve Liposuction is the gentlest. Using warmed water, it is even gentler than the Body-Jet (Aqualipo) device, and fat is removed with almost zero blood loss. This translates to less bruising and an easier recovery in my experience, particularly for higher volume liposuction patients. In addition, the temperature of the water can be adjusted as the device is used to impart more heat to the collagen.",hydrasolve,"August 22, 2014",http://www.lookandfeelbetter.com
"The traditional approach to facial aging was to simply tighten facial skin with procedures such as faclifts and browlifts. However over the last 10-15 years, it has become increasingly accepted that the main component of facial aging is the loss of facial volume, particularly in the emples and around the eyes, and also in the cheeks, jaws and around the mouth. In fact, it can be shown that as we age, all areas of the face lose volume.The single most important component of any breast implant operation, whether for cosmetic breast augmentation or breast reconstruction, is ensuring that there is good soft tissue coverage over the implant. Most of the complications relating to breast implants are directly related to the quality and thickness of the soft tissue over the implants.Complications include poor shape, assymetry, hardening or capsular contracture, pain, rippling and even tissue deformity and breakdown in some cases.I have just returned from Amsterdam, where I attended the International Federation for Adipose Therapeutics and Science (IFATS) Annual Meeting. Fat transfer and the use of fat derived stem cells continue to have more and more applications. There were a number of excellent papers on already well accepted uses of fat transfer such as facial rejuvenation, breast augmentation and breast reconstruction. The long term stability of fat transfer in these areas was confirmed in numerous studies that were presented. I have just returned from the 3rd Congress of the International Society for Plastic Regenerative Surgery in Miami. There, I got to present my own paper on the Lipoflap procedure, and to listen to a whole series of excellent presentations on this exciting emerging medical technology. There was more confirmation of the benefits of fat transfer for breast augmentation and breast reconstruction, but the really exciting news was the continuing flood of evidence promoting the use of fat related stem and regenrative cells.The uses of fat as the ideal natural filler continue to expand. Using very finely processed fat we can now inject fat through very fine needles. This allows fat to be injected much more superficially than before. It is also possible to distribute the fat in a very thin layer under the full surface of the facial and neck skin to rejuvenate the appearance of the skin, fill out fine lines and wrinkles, improve facial scars and facial skin discoloration. The technique can be combined with other facial skin rejuvenation procedures such as chemical peels and laser resurfacing.As you may know by now, we are very passionate about fat grafting at The Bougainvillea Clinique. The BRAVA® System is an essential piece of the fat grafting puzzle. It's just as important as the actual grafting portion. Brava helps ""till the soil"" as Dr. Hartog likes to say. It creates space in the breast tissues, which in turn allows for more fat to be grafted once. Additionally, a higher percentage of fat will live or ""take"" when BRAVA is used. To such a degree that we are now making it mandatory to use it for all breast augmentation and reconstruction patients. We are very excited that Dr. and Michelle Hartog's local interview has gone national. It has aired in Georgia, New York and Tennessee so far! Breast reconstruction became the Hartogs' passion after Michelle's breast cancer diagnosis in 2010. With their combined medical knowledge and extensive research, they realized traditional reconstruction procedures weren't for Michelle. Dr. Hartog, while performing fat grafting since his plastic surgery training, started to really understand the signifigance of fat grafting for breast cancer survivors.Ever since liposuction was introduced as a body contouring procedure we have witnessed an ever increasing number of terms describing the procedure and now again we are seeing a similar explosion of terminology related to fat grafting. In the liposuction arena, we have liposuction, liposculpture, Vaser Lipo, Aqualipo (Body-Jet) and Tickle Lipo, just to name a few. Broadly speaking there are not nearly as many differences between the procedures as marketers would have you believe, they all involve removal of fat through some sort of vacuum device.",Fat grafting,"November 30, 2016",http://www.lookandfeelbetter.com
"I have just returned from the 3rd Congress of the International Society for Plastic Regenerative Surgery in Miami. There, I got to present my own paper on the Lipoflap procedure, and to listen to a whole series of excellent presentations on this exciting emerging medical technology. There was more confirmation of the benefits of fat transfer for breast augmentation and breast reconstruction, but the really exciting news was the continuing flood of evidence promoting the use of fat related stem and regenrative cells.",Diabetic Ulcers,"September 15, 2014",http://www.lookandfeelbetter.com
"I have just returned from the 3rd Congress of the International Society for Plastic Regenerative Surgery in Miami. There, I got to present my own paper on the Lipoflap procedure, and to listen to a whole series of excellent presentations on this exciting emerging medical technology. There was more confirmation of the benefits of fat transfer for breast augmentation and breast reconstruction, but the really exciting news was the continuing flood of evidence promoting the use of fat related stem and regenrative cells.",Chronic Pain,"September 15, 2014",http://www.lookandfeelbetter.com
"I have just returned from Amsterdam, where I attended the International Federation for Adipose Therapeutics and Science (IFATS) Annual Meeting. Fat transfer and the use of fat derived stem cells continue to have more and more applications. There were a number of excellent papers on already well accepted uses of fat transfer such as facial rejuvenation, breast augmentation and breast reconstruction. The long term stability of fat transfer in these areas was confirmed in numerous studies that were presented. ",3-D printing,"November 21, 2014",http://www.lookandfeelbetter.com
"As cooler weather approaches (by Orlando standards anyway), we tend to see more facial patients as people aren’t in the sun as much. This time of year is great for having a variety of face procedures like: Facelift, Blepharoplasty, Brow Lift, Neck Lift etc…But that begs the question, “what is a facelift?” Now with all the slick t.v. commercials and print ads for certain types of lifts, it can become very confusing for prospective patients. Each person is so different that there isn’t necessarily a “one size” fits all approach. There have been many advances over the last several years that do allow for a more minimally invasive approach, which in turn means shorter scars. Dr. Hartog has created the VALULIFT (volume added limited undermining). This technique combines adding fat to the hollow areas of the face and uses a shorter scar method. This creates a more youthful appearance without looking too tight or unnatural.The article below from Medical News Today defines facelift and other techniques in plain speak and not medical jargon! This is a great way to educate yourself before jumping into any procedure. The most important to remember is to always go to a Board Certified Plastic Surgeon. Additionally, a facelift doesn’t stop the aging process but it does turn the hands of time back to create a fresher revitalized appearance.","Really, What is a Facelift? ","November 5, 2012",http://www.lookandfeelbetter.com
"Below is a wonderful article on counterfeit Botox. Every single day we get asked by our patients and people seeking Botox treatment why aren't our prices as low as some of the daily discount sites. There is no question when comparing our office to deeply discounted Botox offices that it's like comparing an apple to a sock. We only sell Botox Cosmetic that comes directly from Allergan, the makers of Botox. We do, have not and will never use a second party distributor for any of our injectables. Furthermore, our medical providers are all Allergan trained and opertate to the standards set forth by Allergan and other medical governing agencies.Botox should be treated in the same manner as any other medicine. Medicine, even if cosmetic, should be performed by trained professionals, in a properly accreditated facility. Yes, this may cost a slight bit more per treatment but patients can rest assure they are getting the real deal. Even if a facility offers to ""show you"" the Botox box, this article proves buyers should still beware. Counterfeit means it will appear to look the same as the authentic product; it's masquerading. So, how will an average patient/consumer know the difference? Price. if it's too good to be true, it is! If someone is advertising Botox at a ridiculous low cost, that's a red flag. Secondly, who is providing the service? Lastly, where is the treatment being done. Regardless of whether it is surgery or injectables, each should be treated with the utmost respect even though these are enhancement services.The price for authentic Botox may not be rock bottom like some daily deal you receive in an email but you'll have peace of mind knowing what is being injected is SAFE!Read the article in the Wall Street Journal to get the entire scoop!",No Knock Off Botox here!,"December 26, 2012",http://www.lookandfeelbetter.com
"  Juvederm is a gel filler that smooths away wrinkles and enhances lips. First you'll meet with a licensed professional who will assess your areas of concern. Then we'll apply a topical numbing cream on the areas to be treated. This cream helps to reduce any discomfort that may occur with fine injections. Next, you'll be filled up in about 20 minutes or less! There is little to no downtime with Juvederm and it is possible to resume daily activities upon leaving the office. How easy is that? You can expect some slight swelling and it is possible to experience mild bruising. While we do everything we can to reduce and/or eliminate those temporary issues, it is important that we educate you on all things that go along with fillers. Lastly, you will see results almost immediately! This is a great way to push back those pesky hands of time without a lot of commitment on your part.It's our goal to make you look and feel your best! ",Killer Filler Deals!,"January 3, 2013",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/Screen%20shot%202013-01-02%20at%2011.49.24%20AM_0-500x505.png
,Whats New at The BVC!,"January 16, 2013",http://www.lookandfeelbetter.com
"We are so excited and appreciate OUR patients! We want to keep growing our business and help others to look and feel their best!Online reviews are important for our business so that patients can find us online easily. We are personally asking each patient if they would mind writing a review about The Bougainvillea Clinique and submit it through Google Places, Real Self or your favorite online review site. Included are simple step-by-step instructions to help guide you through the process. Some sites require a login and password. We know this is an extra step but it’s to ensure each review is authentic.The Bougainvillea Clinique welcomes informative and insightful reviews. We thank you for taking the time to share your experience. It’s patients like you that makes us love what we do!",Give Us A Shout Out!,"January 29, 2013",http://www.lookandfeelbetter.com
"Obagi Medical Products is a medical grade skin care system that is dispensed by physician managed practices. Why medical grade products? There are countless lines out there with countless promises. However, only medical grade products, overseen by a physicians office, have strong active ingredients to combat the aging process. In the same manner as prescribed medicine. Obagi is in essence medicine for your skin. With any medication, it needs to be managed and treated with proper dosage. This can only be done in a proper facility to ensure maximum results. Various other product lines won't give you this attention and care because they are meant to be ""cash and carry."" That is not to say that is wrong or there aren't some fabulous maintenance products out there. There are! However, if you are truly trying to rid yourself of hyperpigmentation, rosacea, acne, fine lines and dull skin, there is no question that you need an aggressive line that has enough powerful ingredients to address those issues.Obagi is made up of several different lines.:The NuDerm system that transforms your skin to look more youthful, prevents aging and evens skin tones on the cellular level.Obagi-C Rx System consists of hydroquinone and vitamin C serum, which is proven to stimulate collagen and protects skin from the environment.Clenziderm gets to the root of acne issues and clears the skin rapidly. Additionally, it aides in maintaining a beautiful complexion.Lastly, the Rosaclear treats rosacea and reduces overall redness.Check out Obagi's website to see amazing before and afters and read more about how it can help you look and feel your best. We have an amazing group of licensed aestheticians who can answer all of your questions regarding the multiple Obagi systems at a complimentary consultation. And our entire team uses Obagi and they can share their stories too! Our feeling is Obagi is often imitated but never duplicated.",Obagi Is Still Simply The Best!,"January 30, 2013",http://www.lookandfeelbetter.com
"With every New Year come new trends in fashion, health and beauty. I'm breaking down the total ""must-haves"" in cosmetic procedures that use the latest techniques, accessories and technologies. 2013 is definitely YOUR year to look and feel your best! There is no question that there is no greater nemesis to a woman’s bod than cellulite. You can work out, eat right and take care of yourself overall and still have lumpy bumpy skin. Well, fret no more, is here. Vasersmooth uses an accessory, and we women love accessories, that breaks up the connective tissues that create those pesky dimples. This procedure is minimally invasive, can be done under local anesthetic and has almost no downtime! Say good-bye to cheesy thighs and hello to skimpy bikinis.Scarring is the main obstacle for women seeking perkier breasts. Traditionally, large scars were needed to tailor the breasts into a better position…not anymore! An internal bra is created, through tiny incisions, using sutures that lift and support the breasts into a better position. Breast implants and fat may be combined at the same time as the scarless breast lift to enhance the breasts even further. The downtime, recovery and complications are reduced due to having fewer incisions. It’s a total win-win! Please note not everyone will be a candidate for this style of breast lift. Those with severe ptosis and very heavy breasts still may require a classic mastopexy. Check out Dr. Hartog’s mentor Dr. Khouri’s website to find out a little more. He is truly a pioneer in breast surgeries.The Liquid Facelift uses a combination of fillers, Botox and/or fat to create a more youthful appearance using mostly non-surgical methods. This helps restore facial volume, fill wrinkles and give an overall appearance of rejuvenation. There is no question this will not replace a traditional facelift but this is great for quick minor improvements and for those not ready or needing more involved facial surgeries.  The results may be temporary but the confidence boost you’ll get is long lasting! Check out Juvederm and Sculptras websites to see some great before and afters using just injectables.Still going strong in 2013 is the Brazilian Butt Lift and Mommy Makeovers. I call the Brazilian Butt Lift a “twofer.” Two surgeries for one! Liposuction removes fat from undesired areas and is reinjected into the buttocks creating a fuller bottom. Mommy makeovers typically combine a few procedures together either: liposuction, tummy tucks, breast augmentation and/or breast lifts. The “makeover” restores mom’s bodies to a time before those little angels came along.Our consultations are complimentary* and we can't wait to meet YOU!*consultations are complimentary for cosmetic procedures only.",Plastic Surgery Must Have Trends of 2013!,"February 5, 2013",http://www.lookandfeelbetter.com
Huffington Post Article:,The Swan Celebrity Version Headed to Fox,"February 12, 2013",http://www.lookandfeelbetter.com
"Ever since liposuction was introduced as a body contouring procedure we have witnessed an ever increasing number of terms describing the procedure and now again we are seeing a similar explosion of terminology related to fat grafting. In the liposuction arena, we have liposuction, liposculpture, Vaser Lipo, Aqualipo (Body-Jet) and Tickle Lipo, just to name a few. Broadly speaking there are not nearly as many differences between the procedures as marketers would have you believe, they all involve removal of fat through some sort of vacuum device. Ultimately all these technologies rely on the skill of the surgeon, rather than the technology itself, to obtain the best result. Unfortunately, in many cases, dishonest marketing has led many patients to believe that one technology or another can overcome either the limitations inherrent in liposuction, or the lack of experience or skill of the surgeon.Now that fat grafting is becoming a mainstream approach to many cosmetic and reconstructive procedures, including breast reconstruction and augmentation and facial rejuvenation it's worthwhile I think to remind everyone that with all the new terms emerging to describe the procedure, they are all ultimately fat grafting procedures. So here's a brief explanation of the different terminologies people use to describe fat grafting and the differences between them.Please  today for more information.",Fat Grafting has many names,"February 15, 2013",http://www.lookandfeelbetter.com
,Social Media and Plastic Surgery,"February 21, 2013",http://www.lookandfeelbetter.com
Great deals now through Satuday ONLY! Michelle and Liz will be on holiday next week so now is the time to strike while the needle is hot! Juvederm will plump lips and fill in pesky smile lines. Botox will relax the muscles that help create wrinkles by the eyes and on the forehead. Let's get our smooth face on! Call today for your appointment!,Lucky Deals and Steals!,"February 26, 2013",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/Screen%20shot%202013-02-21%20at%206.05.31%20PM_0.png
"Different doctors and practices will have their own approach to what a patient should weigh and/or body mass index be prior to surgery. There are no strict hard fast rules but for optimal results weight should be stable. Liposuction and abdominoplasty should never be viewed as weight loss procedures. While the two have very different goals and provide wonderful results it doesn’t mean the scale will move drastically. is designed for someone relatively in shape. Truly, a patient should be about 10-15 pounds from goal weight before having this surgery. BMI isn’t so much an issue. For example, if thighs are a challenge for a patient and “x” amount of fat is removed from the thighs, it can be life changing even if they have a higher BMI.   addresses something completely different. It is still a good idea to have weight/BMI under control but it is not totally critical. Tummy tuck patients are dealing with excess skin which cannot be addressed with liposuction nor be dieted or exercised off. Therefore, it’s not related to BMI as much.Dr. Hartog doesn’t have a “magic” number per se. We focus on consistentcy. Has your weight been consistent more or less?  Have you tried diet and exercise and these areas are consistently a problem? The answers to those questions let us know that one or both procedures will help you. Obese patients may want to consider bariatric surgery since there are limits to what cosmetic surgery can do. The healthier patients are before surgery is always the best. ",BMI and Surgery,"March 19, 2013",http://www.lookandfeelbetter.com
,Forever Your Breast Implants,"March 5, 2013",http://www.lookandfeelbetter.com
Here's the link to the article   ,Doc Traits to Look For!,"March 12, 2013",http://www.lookandfeelbetter.com
     ,What Filler Goes Where?,"March 28, 2013",http://www.lookandfeelbetter.com
,Gynecomastia,"April 9, 2013",http://www.lookandfeelbetter.comhttp://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/m7_gynecomastia.jpg
